<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPY,60,240102,090000,472.16,472.79,471.37,472.27,1063758
SPY,60,240102,100000,472.275,472.7,471.31,471.64,811607
SPY,60,240102,110000,471.67,473.29,471.64,473.17,688103
SPY,60,240102,120000,473.19,473.66,472.59,472.64,600351
SPY,60,240102,130000,472.65,472.97,472,472.1,543311
SPY,60,240102,140000,472.125,472.25,470.92,470.95,711816
SPY,60,240102,150000,470.93,472.67,470.49,472.6,2751590
SPY,60,240103,090000,470.43,470.53,469.69,469.95,848870
SPY,60,240103,100000,469.91,470.94,468.72,469.39,1157542
SPY,60,240103,110000,469.39,469.92,469.13,469.26,574788
SPY,60,240103,120000,469.27,470.39,468.98,470.31,467888
SPY,60,240103,130000,470.3,470.77,469.87,470.11,431252
SPY,60,240103,140000,470.06,471.19,468.95,470.22,1107899
SPY,60,240103,150000,470.23,470.29,468.17,468.76,2071768
SPY,60,240104,090000,468.3,469.26,468.14,468.92,496836
SPY,60,240104,100000,468.89,470.21,468.69,469.85,707411
SPY,60,240104,110000,469.87,470.96,469.48,469.72,623423
SPY,60,240104,120000,469.72,469.82,468.67,469.13,498336
SPY,60,240104,130000,469.11,469.46,468.98,469.13,311952
SPY,60,240104,140000,469.1,469.33,468.19,468.7,701459
SPY,60,240104,150000,468.7,469.04,467.05,467.28,2141341
SPY,60,240105,090000,467.5,468.58,467.13,468.12,608339
SPY,60,240105,100000,468.15,470.41,468.15,470.18,1096728
SPY,60,240105,110000,470.15,470.44,468.6,468.78,730209
SPY,60,240105,120000,468.78,468.84,467.14,467.58,724029
SPY,60,240105,130000,467.52,468.68,466.69,468.36,628199
SPY,60,240105,140000,468.44,468.98,466.66,466.81,683880
SPY,60,240105,150000,466.82,468.29,466.44,467.92,1211741
SPY,60,240108,090000,468.43,469.77,468.33,469.76,545204
SPY,60,240108,100000,469.78,470.74,469.37,470.36,810342
SPY,60,240108,110000,470.39,470.9,469.97,470.88,536621
SPY,60,240108,120000,470.88,471.63,470.56,471.47,505087
SPY,60,240108,130000,471.47,472.07,471.26,472.02,346363
SPY,60,240108,140000,472.03,474,471.92,473.75,766140
SPY,60,240108,150000,473.76,474.75,473.38,474.54,1856820
SPY,60,240109,090000,471.87,472.19,471.36,472.16,425043
SPY,60,240109,100000,472.16,472.95,471.58,472.23,617374
SPY,60,240109,110000,472.22,474.22,472.21,474.22,483888
SPY,60,240109,120000,474.23,474.465,473.83,474.34,355510
SPY,60,240109,130000,474.35,474.92,473.15,474.27,521442
SPY,60,240109,140000,474.31,474.54,473.37,473.79,463743
SPY,60,240109,150000,473.79,474.24,472.93,473.85,1361838
